"Var1" "Freq"
"1" "" 98166
"2" "and" 435
"3" "the" 435
"4" "his" 296
"5" "of" 280
"6" "to" 277
"7" "in" 214
"8" "a" 178
"9" "all" 173
"10" "that" 173
"11" "And" 156
"12" "with" 144
"13" "he" 134
"14" "I" 123
"15" "their" 99
"16" "so" 92
"17" "as" 89
"18" "my" 88
"19" "The" 88
"20" "for" 77
"21" "from" 77
"22" "her" 76
"23" "not" 76
"24" "thy" 72
"25" "But" 70
"26" "did" 67
"27" "Of" 67
"28" "is" 62
"29" "To" 62
"30" "That" 59
"31" "him" 57
"32" "but" 55
"33" "by" 55
"34" "this" 52
"35" "be" 51
"36" "With" 50
"37" "at" 48
"38" "which" 48
"39" "In" 47
"40" "our" 46
"41" "was" 46
"42" "men" 44
"43" "His" 43
"44" "it" 43
"45" "yet" 43
"46" "no" 41
"47" "nor" 41
"48" "thou" 41
"49" "A" 39
"50" "when" 39
"51" "on" 37
"52" "He" 36
"53" "more" 36
"54" "such" 36
"55" "they" 36
"56" "are" 35
"57" "one" 34
"58" "will" 34
"59" "most" 33
"60" "would" 33
"61" "had" 32
"62" "me" 32
"63" "shall" 32
"64" "any" 31
"65" "man" 31
"66" "or" 31
"67" "then" 31
"68" "This" 31
"69" "what" 30
"70" "you" 30
"71" "great" 29
"72" "she" 29
"73" "have" 28
"74" "never" 28
"75" "hath" 27
"76" "made" 27
"77" "much" 27
"78" "still" 27
"79" "th'" 27
"80" "thee" 27
"81" "these" 27
"82" "life" 26
"83" "must" 26
"84" "thus" 26
"85" "Jove" 25
"86" "now" 25
"87" "out" 25
"88" "we" 25
"89" "both" 24
"90" "see" 23
"91" "some" 23
"92" "As" 22
"93" "could" 22
"94" "Nor" 22
"95" "them" 22
"96" "your" 22
"97" "can" 21
"98" "For" 21
"99" "me," 21
"100" "if" 20
"101" "mind" 20
"102" "though" 20
"103" "doth" 19
"104" "ever" 19
"105" "him," 19
"106" "about" 18
"107" "earth" 18
"108" "let" 18
"109" "make" 18
"110" "My" 18
"111" "set" 18
"112" "those" 18
"113" "up" 18
"114" "an" 17
"115" "By" 17
"116" "death" 17
"117" "every" 17
"118" "hand" 17
"119" "So" 17
"120" "All" 16
"121" "should" 16
"122" "show" 16
"123" "strength" 16
"124" "took" 16
"125" "upon" 16
"126" "When" 16
"127" "whose" 16
"128" "give" 15
"129" "Gods" 15
"130" "before" 14
"131" "being" 14
"132" "hands" 14
"133" "how" 14
"134" "It" 14
"135" "left" 14
"136" "may" 14
"137" "other" 14
"138" "since" 14
"139" "than" 14
"140" "Ulysses" 14
"141" "whom" 14
"142" "fair" 13
"143" "full" 13
"144" "know" 13
"145" "long" 13
"146" "She" 13
"147" "take" 13
"148" "there" 13
"149" "They" 13
"150" "were" 13
"151" "day" 12
"152" "end" 12
"153" "far" 12
"154" "God" 12
"155" "good" 12
"156" "head" 12
"157" "here" 12
"158" "many" 12
"159" "once" 12
"160" "through" 12
"161" "Which" 12
"162" "who" 12
"163" "again" 11
"164" "all," 11
"165" "bear" 11
"166" "first" 11
"167" "From" 11
"168" "he," 11
"169" "human" 11
"170" "If" 11
"171" "ill" 11
"172" "men," 11
"173" "Not" 11
"174" "now," 11
"175" "only" 11
"176" "said:" 11
"177" "soul" 11
"178" "stood" 11
"179" "Their" 11
"180" "Thou" 11
"181" "Thus" 11
"182" "where" 11
"183" "About" 10
"184" "another" 10
"185" "At" 10
"186" "brought" 10
"187" "do" 10
"188" "even" 10
"189" "gave" 10
"190" "just" 10
"191" "man," 10
"192" "off" 10
"193" "past" 10
"194" "sacred" 10
"195" "Thy" 10
"196" "well" 10
"197" "ye" 10
"198" "Yet" 10
"199" "been" 9
"200" "Both" 9
"201" "down" 9
"202" "earth," 9
"203" "eat" 9
"204" "fits" 9
"205" "Greeks" 9
"206" "hear" 9
"207" "heart" 9
"208" "love" 9
"209" "makes" 9
"210" "said" 9
"211" "spirit" 9
"212" "sweet" 9
"213" "tears" 9
"214" "Then" 9
"215" "there," 9
"216" "thought" 9
"217" "up," 9
"218" "us" 9
"219" "use" 9
"220" "Whose" 9
"221" "wine" 9
"222" "\"O" 8
"223" "amongst" 8
"224" "art" 8
"225" "But," 8
"226" "Even" 8
"227" "eyes" 8
"228" "flew" 8
"229" "forth" 8
"230" "given" 8
"231" "Gods," 8
"232" "heaven" 8
"233" "into" 8
"234" "it," 8
"235" "Jove," 8
"236" "kind" 8
"237" "might" 8
"238" "move" 8
"239" "near" 8
"240" "not," 8
"241" "On" 8
"242" "Or" 8
"243" "Our" 8
"244" "own" 8
"245" "place" 8
"246" "power" 8
"247" "put" 8
"248" "sea" 8
"249" "Since" 8
"250" "son," 8
"251" "therefore" 8
"252" "think" 8
"253" "this," 8
"254" "till" 8
"255" "turn'd" 8
"256" "What" 8
"257" "wine," 8
"258" "wise" 8
"259" "answer'd:" 7
"260" "be," 7
"261" "cast" 7
"262" "close" 7
"263" "feet" 7
"264" "fit" 7
"265" "free" 7
"266" "golden" 7
"267" "grace" 7
"268" "hearts" 7
"269" "here," 7
"270" "laid" 7
"271" "O" 7
"272" "old" 7
"273" "right" 7
"274" "saw" 7
"275" "sent" 7
"276" "strong" 7
"277" "t'" 7
"278" "taste" 7
"279" "thee," 7
"280" "then," 7
"281" "things" 7
"282" "two" 7
"283" "without" 7
"284" "words" 7
"285" "worst" 7
"286" "and," 6
"287" "And," 6
"288" "Are" 6
"289" "back" 6
"290" "beat" 6
"291" "black" 6
"292" "call'd" 6
"293" "care" 6
"294" "come" 6
"295" "death," 6
"296" "divine" 6
"297" "else" 6
"298" "fall," 6
"299" "fire" 6
"300" "food" 6
"301" "go," 6
"302" "Hector's" 6
"303" "high" 6
"304" "horse," 6
"305" "house" 6
"306" "I'll" 6
"307" "Jove's" 6
"308" "joy" 6
"309" "king" 6
"310" "least" 6
"311" "lies" 6
"312" "live" 6
"313" "mighty" 6
"314" "mine" 6
"315" "part" 6
"316" "ready" 6
"317" "round" 6
"318" "said," 6
"319" "seen" 6
"320" "sharp" 6
"321" "shoulders" 6
"322" "sight" 6
"323" "sort" 6
"324" "state" 6
"325" "Than" 6
"326" "that," 6
"327" "them," 6
"328" "Though" 6
"329" "too" 6
"330" "too," 6
"331" "under" 6
"332" "us," 6
"333" "whole" 6
"334" "wish" 6
"335" "worthy" 6
"336" "years" 6
"337" "\"I" 5
"338" "against" 5
"339" "arms" 5
"340" "arms," 5
"341" "away" 5
"342" "bear," 5
"343" "best" 5
"344" "birth" 5
"345" "blood" 5
"346" "bright" 5
"347" "broad" 5
"348" "came" 5
"349" "choice" 5
"350" "Come," 5
"351" "command" 5
"352" "course" 5
"353" "crown'd" 5
"354" "dead" 5
"355" "drew" 5
"356" "drunk" 5
"357" "ears" 5
"358" "either" 5
"359" "fate" 5
"360" "Fate" 5
"361" "fear" 5
"362" "feet," 5
"363" "fight," 5
"364" "fill'd" 5
"365" "friends" 5
"366" "gone," 5
"367" "goodly" 5
"368" "Had" 5
"369" "head," 5
"370" "heaven," 5
"371" "Hector" 5
"372" "held" 5
"373" "Her" 5
"374" "him." 5
"375" "home," 5
"376" "honour'd" 5
"377" "is," 5
"378" "issue" 5
"379" "it;" 5
"380" "knowing" 5
"381" "known" 5
"382" "lay" 5
"383" "Let" 5
"384" "life," 5
"385" "lives" 5
"386" "me;" 5
"387" "mind," 5
"388" "minds" 5
"389" "Most" 5
"390" "new" 5
"391" "No" 5
"392" "nothing" 5
"393" "off," 5
"394" "poor" 5
"395" "queen" 5
"396" "rich" 5
"397" "rude" 5
"398" "sat" 5
"399" "seas," 5
"400" "seed" 5
"401" "set," 5
"402" "ships" 5
"403" "shore," 5
"404" "son" 5
"405" "stand" 5
"406" "still," 5
"407" "store" 5
"408" "strength," 5
"409" "sure" 5
"410" "That," 5
"411" "These" 5
"412" "Through" 5
"413" "times" 5
"414" "Troy" 5
"415" "try" 5
"416" "Up" 5
"417" "war" 5
"418" "way" 5
"419" "We" 5
"420" "Where" 5
"421" "which," 5
"422" "worth" 5
"423" "You" 5
"424" "young" 5
"425" "youth" 5
"426" "'tis" 4
"427" "air" 4
"428" "air," 4
"429" "all." 4
"430" "am" 4
"431" "ample" 4
"432" "arm" 4
"433" "Be" 4
"434" "better" 4
"435" "bitter" 4
"436" "bound" 4
"437" "breast" 4
"438" "breasts" 4
"439" "bring" 4
"440" "call" 4
"441" "charge" 4
"442" "clear" 4
"443" "country's" 4
"444" "course," 4
"445" "darts" 4
"446" "dear" 4
"447" "draw" 4
"448" "dreadful" 4
"449" "enjoy" 4
"450" "equal" 4
"451" "evermore" 4
"452" "face" 4
"453" "fall" 4
"454" "fate," 4
"455" "father," 4
"456" "fell" 4
"457" "field" 4
"458" "field," 4
"459" "fierce" 4
"460" "fight" 4
"461" "for," 4
"462" "force" 4
"463" "friend" 4
"464" "friend," 4
"465" "gold," 4
"466" "good," 4
"467" "grave" 4
"468" "greatest" 4
"469" "Greek" 4
"470" "Greeks," 4
"471" "hands," 4
"472" "hard" 4
"473" "having" 4
"474" "He," 4
"475" "height" 4
"476" "himself" 4
"477" "himself," 4
"478" "horrid" 4
"479" "huge" 4
"480" "I," 4
"481" "ills" 4
"482" "immortal" 4
"483" "joy," 4
"484" "keep" 4
"485" "king," 4
"486" "knew" 4
"487" "know," 4
"488" "labour" 4
"489" "labours" 4
"490" "lance," 4
"491" "land" 4
"492" "length" 4
"493" "life." 4
"494" "lofty" 4
"495" "look'd" 4
"496" "love," 4
"497" "man's" 4
"498" "Mars" 4
"499" "meat," 4
"500" "Minerva" 4
"501" "neck" 4
"502" "neither" 4
"503" "night" 4
"504" "none" 4
"505" "note" 4
"506" "nuptials" 4
"507" "Olympus" 4
"508" "on," 4
"509" "One" 4
"510" "out," 4
"511" "pass" 4
"512" "pay" 4
"513" "pow'r" 4
"514" "present" 4
"515" "rather" 4
"516" "reach" 4
"517" "respect" 4
"518" "rest" 4
"519" "return" 4
"520" "right," 4
"521" "sad" 4
"522" "sea," 4
"523" "see," 4
"524" "sees" 4
"525" "seiz'd" 4
"526" "shield" 4
"527" "ship," 4
"528" "shook" 4
"529" "shore" 4
"530" "show'd" 4
"531" "silent" 4
"532" "so;" 4
"533" "sons" 4
"534" "soul," 4
"535" "spirits" 4
"536" "stay" 4
"537" "steel" 4
"538" "still." 4
"539" "stirr'd" 4
"540" "stomach" 4
"541" "struck" 4
"542" "stung" 4
"543" "suffer" 4
"544" "suffer'd" 4
"545" "takes" 4
"546" "themselves" 4
"547" "these," 4
"548" "thine" 4
"549" "thoughts" 4
"550" "thrust" 4
"551" "Till" 4
"552" "time" 4
"553" "together" 4
"554" "true" 4
"555" "twenty" 4
"556" "Ulysses," 4
"557" "vain" 4
"558" "way," 4
"559" "ways" 4
"560" "well," 4
"561" "Were" 4
"562" "when," 4
"563" "Whom" 4
"564" "wife," 4
"565" "wise," 4
"566" "Without" 4
"567" "Would" 4
"568" "wound," 4
"569" "wretched" 4
"570" "yet," 4
"571" "Yet," 4
"572" "'O" 3
"573" "'twas" 3
"574" "(As" 3
"575" "above" 3
"576" "abroad" 3
"577" "act" 3
"578" "add" 3
"579" "affections" 3
"580" "after" 3
"581" "again," 3
"582" "age," 3
"583" "aid," 3
"584" "Ajax" 3
"585" "Amongst" 3
"586" "An" 3
"587" "answer'd" 3
"588" "are," 3
"589" "Argos," 3
"590" "bears" 3
"591" "bed," 3
"592" "before," 3
"593" "begot" 3
"594" "Being" 3
"595" "beneath" 3
"596" "bent" 3
"597" "besides" 3
"598" "bestow" 3
"599" "body," 3
"600" "borne" 3
"601" "bottoms" 3
"602" "brake" 3
"603" "bred" 3
"604" "brother," 3
"605" "but," 3
"606" "came," 3
"607" "cares" 3
"608" "cease" 3
"609" "cheer'd" 3
"610" "choose" 3
"611" "cloud" 3
"612" "clouds" 3
"613" "Come" 3
"614" "come," 3
"615" "comes" 3
"616" "contain" 3
"617" "cunning" 3
"618" "cup" 3
"619" "danger" 3
"620" "dark" 3
"621" "dear," 3
"622" "Deiphobus" 3
"623" "Deities" 3
"624" "delight" 3
"625" "desire" 3
"626" "die" 3
"627" "Diomed" 3
"628" "discern" 3
"629" "divine." 3
"630" "dost" 3
"631" "doubt" 3
"632" "down," 3
"633" "drink" 3
"634" "dust" 3
"635" "each" 3
"636" "ears," 3
"637" "ease" 3
"638" "end." 3
"639" "ends" 3
"640" "eye" 3
"641" "false" 3
"642" "Far" 3
"643" "far." 3
"644" "fear," 3
"645" "feast" 3
"646" "fed" 3
"647" "Fell" 3
"648" "fiery" 3
"649" "fleet" 3
"650" "flies" 3
"651" "fly" 3
"652" "food," 3
"653" "For," 3
"654" "forehead" 3
"655" "form" 3
"656" "forth;" 3
"657" "foul" 3
"658" "foul," 3
"659" "friends," 3
"660" "fruits" 3
"661" "generous" 3
"662" "gift" 3
"663" "gifts" 3
"664" "gives" 3
"665" "go" 3
"666" "God," 3
"667" "Goddess" 3
"668" "Grecians" 3
"669" "guest" 3
"670" "hand," 3
"671" "hand." 3
"672" "hast" 3
"673" "head." 3
"674" "headlong" 3
"675" "heap" 3
"676" "heard" 3
"677" "heaven's" 3
"678" "henceforth" 3
"679" "Him" 3
"680" "hoise" 3
"681" "home" 3
"682" "home." 3
"683" "honour" 3
"684" "honour." 3
"685" "hot" 3
"686" "ill." 3
"687" "in," 3
"688" "Is" 3
"689" "it." 3
"690" "kept" 3
"691" "laughter" 3
"692" "leave" 3
"693" "lest" 3
"694" "life's" 3
"695" "lifts" 3
"696" "light" 3
"697" "look" 3
"698" "lord" 3
"699" "Made" 3
"700" "mayst" 3
