"battle-pieces" "chapman-iliad" "chapman-odyssey" "confidence-man" "hawthorne-and-his-mosses" "israel-potter" "milton-complete" "moby-dick" "piazza-tales" "pierre" "shakespeare-complete"
"the" 7.95347170180183 4.04454389463433 3.743594583641 5.19727629370704 5.00070831562544 7.24799559336557 3.62017762290052 6.76224802095978 6.64626912269747 5.49330489240354 3.14351717702853
"and" 3.69163598449057 4.02019663312155 3.87683834755525 2.07912430918556 3.00325825187704 2.19719689087459 4.05330097840732 3.00711001541988 2.48017483609116 3.63142115771059 2.86319253743643
"of" 2.71089244403897 2.31298984371377 2.10469628749563 2.87336048487958 4.02323275251452 3.35393842952445 2.57334527832055 3.0867871822873 3.10209178894786 3.16708829477983 1.91322563408663
"to" 1.54116842070965 2.29038167230905 2.52330377912625 2.43188061871319 2.42243943901402 2.51545382214334 2.74828761083796 2.15456432993846 2.42272869185139 2.41596160474478 2.1607194600328
"a" 2.03316933302923 1.10200343180448 1.19364205173189 2.72049941741761 1.77078906360674 2.54299528734929 0.802054161581817 2.21174441439626 2.17795816422104 1.66808654540252 1.69404340047478
"in" 2.28079893128279 1.64459954551779 1.71273754864785 1.99788346214283 2.59243518912027 1.85751882000122 1.66406839680871 1.95162189903497 1.75835154542616 1.84432492895187 1.22205060996196
"i" 0.237854745690919 0.584913973009322 0.835549436212324 1.54143817678436 1.06247343816405 0.670175653344758 0.906455230987366 0.934566298433172 1.12144864189822 1.0418224739707 2.39266184793618
"that" 0.847153888762178 1.33967907990539 1.43958783262363 1.41423211365167 1.99745006374841 0.881326886590367 0.950896226747836 1.40138075843289 1.20512019981268 1.356580325033 1.21699971555489
"his" 0.759180215698413 2.41385706998099 1.75826250131856 1.13416498305701 1.01997450063748 1.43062610930902 1.3141837317739 1.18578371867398 1.311270683734 1.26098238266491 0.737297665157601
"with" 0.726597373822945 1.30257849093354 1.14756191671154 1.03047600722616 0.594985125371866 0.974661852010527 1.36285720332108 0.807082831445297 0.942866063065876 0.675688857962268 0.842834774610483
"you" 0.267179303378841 0.163474470157214 0.351985609673497 1.50188671177672 0.46748831279218 0.735969153558969 0.0571384231206044 0.410571753975656 0.493287542928505 0.289395131658527 1.63768605235385
"he" 0.606040858883712 1.30489727774428 0.991555676461934 0.954579952752034 0.580818812863012 1.18428300385581 0.562213867001503 0.832860738372992 0.950359038401499 0.905253984873414 0.724271674318329
"my" 0.0912319572513115 0.555349441172379 0.791134848240905 0.510962169558199 0.226661000141663 0.287655303262134 0.50930791966761 0.276057948734773 0.422104277240087 0.514407975599763 1.36453899955074
"it" 0.524583754195041 0.511292491768307 0.424714497476696 1.31802584741686 1.68579118855362 0.777281351367893 0.268056799825058 1.13422790481859 0.92788011239463 1.06588454109736 0.898793367909807
"for" 0.680981395197289 0.766359040949775 0.734506248577345 0.870132230168147 1.01997450063748 0.687006548748393 0.582670833303941 0.757870463674242 0.689353730877303 0.755678973004962 0.847221077648197
"not" 0.384477534130527 0.536799146686454 0.380299909505277 0.913959529230671 0.793313500495821 0.533998408715344 0.763961879501414 0.538992599397266 0.728067436778021 0.885093874578101 0.972961764729338
"but" 0.876478446450099 0.602304874089876 0.685095019459141 1.05506205304172 0.963309250602068 0.749739886161944 0.711055932167521 0.852076996264547 0.912894161723384 0.916309529228908 0.702605995677498
"is" 0.775471636636147 0.266660483235171 0.277035992471727 1.04223455087708 1.61495962600935 0.417712222290226 0.358349616608235 0.807551520662164 0.479550421479863 0.691296685287672 1.046997243275
"as" 0.56694144863315 0.609840931224783 0.599596937614159 0.954579952752034 0.949142938093214 0.85990574698574 0.670847412193763 0.815987926565773 0.880424601935685 0.756979625282079 0.662065922147109
"all" 0.420318660193542 1.22373973936836 1.38795587410685 0.409411110754792 0.750814562969259 0.433013036293531 0.797116273163987 0.707720717469453 0.460817983140806 0.74787505934226 0.433579409364358
"this" 0.332344987129777 0.602304874089876 0.569617090733451 0.472479663064276 1.260801813288 0.509517106310056 0.510718744929847 0.653352768312859 0.484545738370278 0.601551678166601 0.753114939748146
"be" 0.472451207194292 0.350136808421834 0.301464015856008 0.758960544741259 1.01997450063748 0.494216292306751 0.466277749169377 0.488374163975609 0.47205744614424 0.55017591322048 0.769065132612562
"me" 0.0521325470007494 0.288109261234522 0.43970442091705 0.51310008658564 0.325825187703641 0.250933349654202 0.384449883959622 0.295742895843195 0.332188573212613 0.564483088268767 0.874336405517703
"him" 0.218305040565638 0.626652135602653 0.473570544245257 0.545168841997242 0.552486187845304 0.587551257726911 0.427480054457855 0.500091394397289 0.514517639712769 0.645123529450019 0.596670131403006
"so" 0.332344987129777 0.626652135602653 0.609035037558086 0.569754887812804 0.53831987533645 0.33967807087337 0.492378016520764 0.497747948312953 0.397127692788011 0.575538632624261 0.569156048711889
"by" 0.641881984946727 0.431874043500441 0.404172750539915 0.549444676052122 0.679983000424989 0.630393536936165 0.625701003802174 0.562427060240625 0.658133000312207 0.567734718961559 0.420819255072826
"was" 0.573458017008244 0.39129527431248 0.327002403939574 0.64351302525949 0.410823062756764 1.01750413121978 0.288513766127496 0.770525072529656 1.07024664377146 0.800551476565498 0.24855717213714
"have" 0.254146166628653 0.198835969021008 0.203751922318886 0.567616970785364 0.439155687774472 0.299895954464778 0.23701864405584 0.359953318554 0.370902279113331 0.345973505713115 0.680142807393446
"from" 0.508292333257307 0.547813384037472 0.515764402818106 0.376273396829469 0.339991500212495 0.486565885305098 0.743504913198976 0.5099338679515 0.570714954729941 0.518960258569673 0.284578024355944
