,Source,Target,Weight,Type
1,battle-pieces,chapman-iliad,19,undirected
2,battle-pieces,israel-potter,54,undirected
3,battle-pieces,milton-complete-works,16,undirected
4,battle-pieces,moby-dick,97,undirected
5,battle-pieces,piazza-tales,50,undirected
6,battle-pieces,pierre,99,undirected
7,chapman-iliad,battle-pieces,19,undirected
8,chapman-iliad,chapman-odyssey,300,undirected
9,chapman-iliad,milton-complete-works,211,undirected
10,chapman-iliad,moby-dick,18,undirected
11,chapman-iliad,pierre,13,undirected
12,chapman-odyssey,chapman-iliad,300,undirected
13,chapman-odyssey,milton-complete-works,237,undirected
14,chapman-odyssey,pierre,50,undirected
15,chapman-odyssey,shakespeare-complete,29,undirected
16,confidence-man,hawthorne-and-his-mosses,122,undirected
17,confidence-man,israel-potter,65,undirected
18,confidence-man,moby-dick,37,undirected
19,confidence-man,piazza-tales,123,undirected
20,confidence-man,pierre,152,undirected
21,confidence-man,shakespeare-complete,119,undirected
22,hawthorne-and-his-mosses,confidence-man,122,undirected
23,hawthorne-and-his-mosses,moby-dick,10,undirected
24,hawthorne-and-his-mosses,piazza-tales,47,undirected
25,hawthorne-and-his-mosses,pierre,121,undirected
26,hawthorne-and-his-mosses,shakespeare-complete,2,undirected
27,israel-potter,battle-pieces,54,undirected
28,israel-potter,confidence-man,65,undirected
29,israel-potter,moby-dick,187,undirected
30,israel-potter,piazza-tales,273,undirected
31,israel-potter,pierre,23,undirected
32,milton-complete-works,battle-pieces,16,undirected
33,milton-complete-works,chapman-iliad,211,undirected
34,milton-complete-works,chapman-odyssey,237,undirected
35,milton-complete-works,moby-dick,1,undirected
36,milton-complete-works,pierre,35,undirected
37,milton-complete-works,shakespeare-complete,24,undirected
38,moby-dick,battle-pieces,97,undirected
39,moby-dick,chapman-iliad,18,undirected
40,moby-dick,confidence-man,37,undirected
41,moby-dick,hawthorne-and-his-mosses,10,undirected
42,moby-dick,israel-potter,187,undirected
43,moby-dick,milton-complete-works,1,undirected
44,moby-dick,piazza-tales,277,undirected
45,moby-dick,pierre,192,undirected
46,piazza-tales,battle-pieces,50,undirected
47,piazza-tales,confidence-man,123,undirected
48,piazza-tales,hawthorne-and-his-mosses,47,undirected
49,piazza-tales,israel-potter,273,undirected
50,piazza-tales,moby-dick,277,undirected
51,piazza-tales,pierre,171,undirected
52,pierre,battle-pieces,99,undirected
53,pierre,chapman-iliad,13,undirected
54,pierre,chapman-odyssey,50,undirected
55,pierre,confidence-man,152,undirected
56,pierre,hawthorne-and-his-mosses,121,undirected
57,pierre,israel-potter,23,undirected
58,pierre,milton-complete-works,35,undirected
59,pierre,moby-dick,192,undirected
60,pierre,piazza-tales,171,undirected
61,pierre,shakespeare-complete,126,undirected
62,shakespeare-complete,chapman-odyssey,29,undirected
63,shakespeare-complete,confidence-man,119,undirected
64,shakespeare-complete,hawthorne-and-his-mosses,2,undirected
65,shakespeare-complete,milton-complete-works,24,undirected
66,shakespeare-complete,pierre,126,undirected
