"word" "sentiment" "n"
"1" "great" "positive" 71
"2" "love" "positive" 69
"3" "heaven" "positive" 68
"4" "good" "positive" 65
"5" "death" "negative" 54
"6" "well" "positive" 48
"7" "best" "positive" 35
"8" "fair" "positive" 34
"9" "sweet" "positive" 32
"10" "wise" "positive" 32
"11" "fear" "negative" 30
"12" "fall" "negative" 29
"13" "lost" "negative" 28
"14" "virtue" "positive" 28
"15" "better" "positive" 26
"16" "joy" "positive" 26
"17" "glory" "positive" 25
"18" "poor" "negative" 25
"19" "free" "positive" 23
"20" "die" "negative" 22
"21" "right" "positive" 22
"22" "grace" "positive" 21
"23" "peace" "positive" 20
"24" "dead" "negative" 19
"25" "divine" "positive" 19
"26" "fell" "negative" 19
"27" "strong" "positive" 19
"28" "delight" "positive" 18
"29" "foul" "negative" 18
"30" "gold" "positive" 18
"31" "hate" "negative" 18
"32" "lies" "negative" 18
"33" "sin" "negative" 18
"34" "rich" "positive" 16
"35" "vain" "negative" 16
"36" "bad" "negative" 15
"37" "fool" "negative" 15
"38" "golden" "positive" 15
"39" "soft" "positive" 15
"40" "worth" "positive" 15
"41" "happy" "positive" 14
"42" "hell" "negative" 14
"43" "master" "positive" 14
"44" "pride" "positive" 14
"45" "respect" "positive" 14
"46" "evil" "negative" 13
"47" "praise" "positive" 13
"48" "proud" "positive" 13
"49" "sad" "negative" 13
"50" "worst" "negative" 13
"51" "faith" "positive" 12
"52" "fierce" "negative" 12
"53" "gentle" "positive" 12
"54" "noble" "positive" 12
"55" "pain" "negative" 12
"56" "patience" "positive" 12
"57" "wild" "negative" 12
"58" "wisdom" "positive" 12
"59" "wound" "negative" 12
"60" "angel" "positive" 11
"61" "bright" "positive" 11
"62" "enjoy" "positive" 11
"63" "faults" "negative" 11
"64" "hard" "negative" 11
"65" "misery" "negative" 11
"66" "pleasure" "positive" 11
"67" "pure" "positive" 11
"68" "shame" "negative" 11
"69" "won" "positive" 11
"70" "work" "positive" 11
"71" "dark" "negative" 10
"72" "darkness" "negative" 10
"73" "dust" "negative" 10
"74" "enemies" "negative" 10
"75" "enough" "positive" 10
"76" "false" "negative" 10
"77" "fame" "positive" 10
"78" "foe" "negative" 10
"79" "passion" "positive" 10
"80" "sharp" "positive" 10
"81" "worthy" "positive" 10
"82" "bent" "negative" 9
"83" "bitter" "negative" 9
"84" "ease" "positive" 9
"85" "grief" "negative" 9
"86" "holy" "positive" 9
"87" "issue" "negative" 9
"88" "lie" "negative" 9
"89" "loved" "positive" 9
"90" "mistress" "negative" 9
"91" "pity" "negative" 9
"92" "struck" "negative" 9
"93" "trust" "positive" 9
"94" "woe" "negative" 9
"95" "clear" "positive" 8
"96" "cloud" "negative" 8
"97" "comfort" "positive" 8
"98" "dies" "negative" 8
"99" "doubt" "negative" 8
"100" "drunk" "negative" 8
"101" "goodly" "positive" 8
"102" "greatest" "positive" 8
"103" "honor" "positive" 8
"104" "hot" "positive" 8
"105" "led" "positive" 8
"106" "mighty" "positive" 8
"107" "mischief" "negative" 8
"108" "offence" "negative" 8
"109" "proper" "positive" 8
"110" "ready" "positive" 8
"111" "revenge" "negative" 8
"112" "rude" "negative" 8
"113" "scarce" "negative" 8
"114" "smile" "positive" 8
"115" "strife" "negative" 8
